Randomness extraction table for dice rolls

* Start in state S000
* Roll one die (the same die every time)
* Find the state you are in in the column corresponding to the roll you made.
* Go to the new state listed there, and output the bits after the comma, if any
* Repeat

Produces 0.680556 bits per roll.

Roll: 1         2         3         4         5         6
S000: S022      S023      S024      S007      S007      S025     
S001: S065      S066      S067      S030      S030      S068     
S002: S055      S056      S057      S026      S026      S058     
S003: S008      S008,0    S061      S028      S028      S062     
S004: S008,1    S008      S063      S029      S029      S064     
S005: S031      S032      S006,0    S009      S009      S009,0   
S006: S049      S050      S051      S001,0    S001,0    S001,00  
S007: S040,1    S041,1    S042,1    S002      S002      S002,0   
S008: S010      S011      S002,0    S017,0    S017,0    S048,0   
S009: S012,1    S013,1    S001,10   S019      S019      S052     
S010: S027      S027,0    S097      S059      S059      S098     
S011: S027,1    S027      S099      S060      S060      S100     
S012: S038      S038,0    S104      S078      S078      S105     
S013: S038,1    S038      S109      S079      S079      S110     
S014: S006      S006,0    S031,0    S034      S034      S034,0   
S015: S006,1    S006      S032,0    S035      S035      S035,0   
S016: S031,1    S032,1    S006      S036      S036      S036,0   
S017: S069      S070      S020,0    S037      S037      S037,0   
S018: S074      S075      S021,0    S009,1    S009,1    S009     
S019: S080      S082      S033,0    S039      S039      S039,0   
S020: S014,1    S015,1    S016,1    S000,0    S000,0    S000,00  
S021: S089      S090      S091      S001,01   S001,01   S001,0   
S022: S002      S002,0    S010,0    S040,0    S040,0    S085,0   
S023: S002,1    S002      S011,0    S041,0    S041,0    S086,0   
S024: S010,1    S011,1    S002      S042,0    S042,0    S087,0   
S025: S085,1    S086,1    S087,1    S002,1    S002,1    S002     
S026: S014,10   S015,10   S016,10   S000      S000      S000,0   
S027: S003      S004      S000,0    S005,00   S005,00   S018,00  
S028: S017,1    S017,10   S088,1    S010      S010      S010,0   
S029: S017,11   S017,1    S092,1    S011      S011      S011,0   
S030: S014,1    S015,1    S016,1    S000,1    S000,1    S000,10  
S031: S019      S019,0    S095      S012,0    S012,0    S012,00  
S032: S019,1    S019      S096      S013,0    S013,0    S013,00  
S033: S014      S015      S016      S000,00   S000,00   S000,000 
S034: S001,1    S001,10   S012,10   S049      S049      S089     
S035: S001,11   S001,1    S013,10   S050      S050      S090     
S036: S012,11   S013,11   S001,1    S051      S051      S091     
S037: S003,1    S004,1    S000,10   S005,1    S005,1    S018,1   
S038: S003,1    S004,1    S000,10   S005,0    S005,0    S018,0   
S039: S003,10   S004,10   S000,100  S005      S005      S018     
S040: S020      S020,0    S069,0    S071      S071      S071,0   
S041: S020,1    S020      S070,0    S072      S072      S072,0   
S042: S069,1    S070,1    S020      S073      S073      S073,0   
S043: S021      S021,0    S074,0    S034,1    S034,1    S034     
S044: S021,1    S021      S075,0    S035,1    S035,1    S035     
S045: S074,1    S075,1    S021      S036,1    S036,1    S036     
S046: S006,1    S006,10   S031      S076      S076      S076,0   
S047: S006,11   S006,1    S032      S077      S077      S077,0   
S048: S101      S102      S053,0    S037,1    S037,1    S037     
S049: S033      S033,0    S080,0    S081      S081      S081,0   
S050: S033,1    S033      S082,0    S083      S083      S083,0   
S051: S080,1    S082,1    S033      S084      S084      S084,0   
S052: S106      S107      S054,0    S039,1    S039,1    S039     
S053: S043,1    S044,1    S045,1    S000,01   S000,01   S000,0   
S054: S043      S044      S045      S000,001  S000,001  S000,00  
S055: S000      S000,0    S003,0    S014,00   S014,00   S043,00  
S056: S000,1    S000      S004,0    S015,00   S015,00   S044,00  
S057: S003,1    S004,1    S000      S016,00   S016,00   S045,00  
S058: S043,10   S044,10   S045,10   S000,1    S000,1    S000     
S059: S005,10   S005,100  S046,10   S003      S003      S003,0   
S060: S005,101  S005,10   S047,10   S004      S004      S004,0   
S061: S002,1    S002,10   S010      S088,0    S088,0    S113,0   
S062: S048,1    S048,10   S113,1    S010,1    S010,1    S010     
S063: S002,11   S002,1    S011      S092,0    S092,0    S114,0   
S064: S048,11   S048,1    S114,1    S011,1    S011,1    S011     
S065: S000,1    S000,10   S003,10   S014,0    S014,0    S043,0   
S066: S000,11   S000,1    S004,10   S015,0    S015,0    S044,0   
S067: S003,11   S004,11   S000,1    S016,0    S016,0    S045,0   
S068: S043,1    S044,1    S045,1    S000,11   S000,11   S000,1   
S069: S005,1    S005,10   S046,1    S003,0    S003,0    S003,00  
S070: S005,11   S005,1    S047,1    S004,0    S004,0    S004,00  
S071: S000,1    S000,10   S003,10   S014,1    S014,1    S043,1   
S072: S000,11   S000,1    S004,10   S015,1    S015,1    S044,1   
S073: S003,11   S004,11   S000,1    S016,1    S016,1    S045,1   
S074: S052      S052,0    S115      S012,01   S012,01   S012,0   
S075: S052,1    S052      S116      S013,01   S013,01   S013,0   
S076: S001,11   S001,110  S012,1    S095      S095      S115     
S077: S001,111  S001,11   S013,1    S096      S096      S116     
