Entropy extraction table for possibly-biased dice rolls.

* Start in state S00
* Roll 1 die 4 times (the same die every time), but treat 4 as 3.
* Find the row with those 4 rolls on the left in the column with your current state
* Go to the new state listed there, and output the bits listed after the comma (if any)
* Repeat

Produces 2.722 bits of entropy per 4 rolls if the die is unbiased.

      S00:       S01:       S02:       S03:       S04:       S05:       S06:       S07:       S08:       S09:       S10:       S11:       S12:       S13:       S14:
0000: S00        S01        S01,1      S03        S04        S05        S04,1      S03,1      S08        S08,1      S05,1      S04,1      S04,11     S08,1      S08,11    
1000: S00,1      S01,0      S01        S03,1      S04,0      S05,1      S04        S03,11     S08,0      S08        S05,11     S04,10     S04,1      S08,10     S08,1     
2000: S01,1      S00,1      S00,11     S04,0      S03,0      S08,0      S03,01     S04        S05,0      S05,01     S08        S03        S03,1      S05        S05,1     
3000: S04,11     S03,11     S03,111    S01,11     S00,11     S01,111    S00,111    S01,111    S00,111    S00,1111   S01,1111   S00,111    S00,1111   S00,1111   S00,11111 
5000: S08,11     S05,11     S05,111    S01,011    S00,011    S01,11     S00,0111   S01,0111   S00,11     S00,111    S01,111    S00,0111   S00,01111  S00,111    S00,1111  
0100: S00,0      S01,1      S01,11     S03,0      S04,1      S05,0      S04,11     S03,10     S08,1      S08,11     S05,10     S04,11     S04,111    S08,11     S08,111   
1100: S00        S01,01     S01,1      S03        S04,01     S05        S04,1      S03,1      S08,01     S08,1      S05,1      S04,101    S04,11     S08,101    S08,11    
2100: S01,11     S00,10     S00,1      S04,01     S03,00     S08,01     S03,0      S04,1      S05,00     S05,0      S08,1      S03,0      S03        S05,0      S05       
3100: S04,111    S03,101    S03,11     S01,111    S00,101    S01,1111   S00,11     S01,1111   S00,1101   S00,111    S01,11111  S00,1101   S00,111    S00,11101  S00,1111  
5100: S08,111    S05,101    S05,11     S01,0111   S00,0101   S01,111    S00,011    S01,01111  S00,101    S00,11     S01,1111   S00,01101  S00,0111   S00,1101   S00,111   
0200: S01,0      S00,0      S00,10     S04,1      S03,1      S08,1      S03,11     S04,11     S05,1      S05,11     S08,11     S03,11     S03,111    S05,11     S05,111   
1200: S01,01     S00,00     S00,0      S04,11     S03,01     S08,11     S03,1      S04,111    S05,01     S05,1      S08,111    S03,101    S03,11     S05,101    S05,11    
2200: S00        S01        S01,1      S03,01     S04,01     S05,01     S04,011    S03,1      S08,01     S08,011    S05,1      S04,1      S04,11     S08,1      S08,11    
3200: S03,111    S04,111    S04,1111   S00,101    S01,101    S00,1101   S01,1011   S00,11     S01,1101   S01,11011  S00,111    S01,11     S01,111    S01,111    S01,1111  
5200: S05,111    S08,111    S08,1111   S00,0101   S01,0101   S00,101    S01,01011  S00,011    S01,101    S01,1011   S00,11     S01,011    S01,0111   S01,11     S01,111   
0300: S04,01     S03,01     S03,101    S01,01     S00,01     S01,011    S00,101    S01,101    S00,011    S00,1011   S01,1011   S00,101    S00,1101   S00,1011   S00,11011 
1300: S04,011    S03,001    S03,01     S01,011    S00,001    S01,0111   S00,01     S01,1011   S00,0011   S00,011    S01,10111  S00,1001   S00,101    S00,10011  S00,1011  
2300: S03,011    S04,011    S04,0111   S00,001    S01,001    S00,0011   S01,0011   S00,01     S01,0011   S01,00111  S00,011    S01,01     S01,011    S01,011    S01,0111  
3300: S00        S01        S01,1      S03        S04        S03,1      S04,1      S03,1      S04,1      S04,11     S03,11     S04,1      S04,11     S04,11     S04,111   
5300: S00,1      S01,1      S01,11     S03,0      S04,0      S03        S04,01     S03,01     S04        S04,1      S03,1      S04,01     S04,011    S04,1      S04,11    
0500: S08,01     S05,01     S05,101    S01,001    S00,001    S01,01     S00,1001   S01,1001   S00,01     S00,101    S01,101    S00,1001   S00,11001  S00,101    S00,1101  
